Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 6021,Airbus A321neo,Bengaluru,Delhi,5:45 AM,8:35 AM,2 hr 50 min,Nonstop,113 kg CO2e,12241,"Thu, Nov 28"
Air India,AI 513,Airbus A350,Bengaluru,Delhi,7:45 AM,10:30 AM,2 hr 45 min,Nonstop,136 kg CO2e,12652,"Thu, Nov 28"
IndiGo,6E 175,Airbus A321neo,Bengaluru,Delhi,10:30 AM,1:25 PM,2 hr 55 min,Nonstop,113 kg CO2e,12241,"Thu, Nov 28"
IndiGo,6E 857,Airbus A320,Bengaluru,Delhi,6:10 AM,11:55 AM,5 hr 45 min,1 stop,169 kg CO2e,12254,"Thu, Nov 28"
IndiGo,6E 537,Airbus A320neo,Bengaluru,Delhi,10:15 AM,4:05 PM,5 hr 50 min,1 stop,146 kg CO2e,12254,"Thu, Nov 28"
IndiGo,6E 6815,Airbus A320neo,Bengaluru,Delhi,10:20 AM,3:55 PM,5 hr 35 min,1 stop,156 kg CO2e,12254,"Thu, Nov 28"
IndiGo,6E 2174,Airbus A321neo,Bengaluru,Delhi,3:20 PM,6:05 PM,2 hr 45 min,Nonstop,113 kg CO2e,12371,"Thu, Nov 28"
IndiGo,6E 2306,Airbus A321neo,Bengaluru,Delhi,4:30 PM,7:20 PM,2 hr 50 min,Nonstop,113 kg CO2e,12371,"Thu, Nov 28"
IndiGo,6E 871,Airbus A321neo,Bengaluru,Delhi,9:15 AM,12:05 PM,2 hr 50 min,Nonstop,113 kg CO2e,12383,"Thu, Nov 28"
IndiGo,6E 852,Airbus A320neo,Bengaluru,Delhi,1:55 PM,7:35 PM,5 hr 40 min,1 stop,164 kg CO2e,12384,"Thu, Nov 28"
IndiGo,6E 5306,Airbus A321neo,Bengaluru,Delhi,2:00 PM,4:45 PM,2 hr 45 min,Nonstop,113 kg CO2e,12513,"Thu, Nov 28"
Air India,AI 804,Airbus A320neo,Bengaluru,Delhi,5:45 AM,8:45 AM,3 hr,Nonstop,139 kg CO2e,12652,"Thu, Nov 28"
Air India,AI 507,Airbus A350,Bengaluru,Delhi,12:20 PM,3:10 PM,2 hr 50 min,Nonstop,136 kg CO2e,12652,"Thu, Nov 28"
IndiGo,6E 6433,Airbus A321neo,Bengaluru,Delhi,7:00 AM,9:55 AM,2 hr 55 min,Nonstop,113 kg CO2e,12708,"Thu, Nov 28"
IndiGo,6E 6779,Airbus A321neo,Bengaluru,Delhi,1:15 AM,6:25 AM,5 hr 10 min,1 stop,153 kg CO2e,12769,"Thu, Nov 28"
IndiGo,6E 6034,Airbus A321neo,Bengaluru,Delhi,6:00 PM,8:55 PM,2 hr 55 min,Nonstop,113 kg CO2e,12838,"Thu, Nov 28"
IndiGo,6E 869,Airbus A321neo,Bengaluru,Delhi,11:45 AM,2:40 PM,2 hr 55 min,Nonstop,113 kg CO2e,12989,"Thu, Nov 28"
IndiGo,6E 886,Airbus A321neo,Bengaluru,Delhi,9:00 AM,2:35 PM,5 hr 35 min,1 stop,139 kg CO2e,13009,"Thu, Nov 28"
Air India,AI 2810,Airbus A320neo,Bengaluru,Delhi,6:50 AM,9:40 AM,2 hr 50 min,Nonstop,139 kg CO2e,13146,"Thu, Nov 28"
Air India,AI 2868,Airbus A320neo,Bengaluru,Delhi,9:45 AM,12:40 PM,2 hr 55 min,Nonstop,139 kg CO2e,13146,"Thu, Nov 28"
Air India,AI 505,Airbus A320neo,Bengaluru,Delhi,9:50 AM,12:45 PM,2 hr 55 min,Nonstop,139 kg CO2e,13146,"Thu, Nov 28"
Air India,AI 2406,Airbus A320neo,Bengaluru,Delhi,11:35 AM,2:25 PM,2 hr 50 min,Nonstop,139 kg CO2e,13146,"Thu, Nov 28"
Air India,AI 501,Airbus A320neo,Bengaluru,Delhi,1:15 PM,4:25 PM,3 hr 10 min,Nonstop,139 kg CO2e,13146,"Thu, Nov 28"
IndiGo,6E 7227,ATR 72,Bengaluru,Delhi,6:35 AM,11:50 AM,5 hr 15 min,1 stop,152 kg CO2e,13336,"Thu, Nov 28"
IndiGo,6E 2186,Airbus A321neo,Bengaluru,Delhi,8:00 AM,11:00 AM,3 hr,Nonstop,113 kg CO2e,13363,"Thu, Nov 28"
Air India,AI 2897,Airbus A320neo,Bengaluru,Delhi,8:20 AM,12:40 PM,4 hr 20 min,1 stop,167 kg CO2e,13938,"Thu, Nov 28"
Air India,AI 2897,Airbus A320neo,Bengaluru,Delhi,8:20 AM,4:40 PM,8 hr 20 min,1 stop,199 kg CO2e,13938,"Thu, Nov 28"
Air India,AI 2897,Airbus A320neo,Bengaluru,Delhi,8:20 AM,6:55 PM,10 hr 35 min,1 stop,167 kg CO2e,13938,"Thu, Nov 28"
