Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 751,Airbus A320neo,Kolkata,Delhi,12:55 PM,7:10 PM,6 hr 15 min,1 stop,132 kg CO2e,14499,"Wed, Dec 4"
SpiceJet,SG 254,Boeing 737,Kolkata,Delhi,3:20 PM,5:45 PM,2 hr 25 min,Nonstop,148 kg CO2e,14701,"Wed, Dec 4"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Delhi,5:25 AM,12:15 PM,6 hr 50 min,1 stop,177 kg CO2e,15026,"Wed, Dec 4"
Air India,AI 2706,Airbus A320neo,Kolkata,Delhi,10:25 AM,12:55 PM,2 hr 30 min,Nonstop,112 kg CO2e,15456,"Wed, Dec 4"
IndiGo,6E 212,Airbus A321neo,Kolkata,Delhi,7:30 AM,1:40 PM,6 hr 10 min,1 stop,149 kg CO2e,15717,"Wed, Dec 4"
IndiGo,6E 6785,Airbus A320,Kolkata,Delhi,7:40 AM,12:20 PM,4 hr 40 min,1 stop,140 kg CO2e,16676,"Wed, Dec 4"
IndiGo,6E 751,Airbus A320neo,Kolkata,Delhi,12:55 PM,5:50 PM,4 hr 55 min,1 stop,132 kg CO2e,18421,"Wed, Dec 4"
IndiGo,6E 2787,Airbus A320,Kolkata,Delhi,5:30 AM,8:00 AM,2 hr 30 min,Nonstop,113 kg CO2e,10311,"Thu, Dec 5"
IndiGo,6E 2119,Airbus A321neo,Kolkata,Delhi,6:45 AM,9:15 AM,2 hr 30 min,Nonstop,92 kg CO2e,10784,"Thu, Dec 5"
Air India,AI 703,Airbus A320,Kolkata,Delhi,4:50 AM,7:20 AM,2 hr 30 min,Nonstop,139 kg CO2e,10964,"Thu, Dec 5"
Air India,AI 763,Airbus A321,Kolkata,Delhi,6:40 AM,9:15 AM,2 hr 35 min,Nonstop,144 kg CO2e,10964,"Thu, Dec 5"
Air India,AI 2720,Airbus A320neo,Kolkata,Delhi,7:00 AM,9:35 AM,2 hr 35 min,Nonstop,112 kg CO2e,10964,"Thu, Dec 5"
IndiGo,6E 2213,Airbus A321neo,Kolkata,Delhi,11:45 AM,2:15 PM,2 hr 30 min,Nonstop,92 kg CO2e,11204,"Thu, Dec 5"
IndiGo,6E 2602,Airbus A321neo,Kolkata,Delhi,4:30 PM,7:00 PM,2 hr 30 min,Nonstop,92 kg CO2e,11285,"Thu, Dec 5"
Air India,AI 769,Airbus A321,Kolkata,Delhi,9:55 AM,12:30 PM,2 hr 35 min,Nonstop,144 kg CO2e,11384,"Thu, Dec 5"
Air India,AI 768,Airbus A320neo,Kolkata,Delhi,3:45 PM,6:20 PM,2 hr 35 min,Nonstop,112 kg CO2e,11384,"Thu, Dec 5"
IndiGo,6E 5194,Airbus A321neo,Kolkata,Delhi,8:15 AM,10:45 AM,2 hr 30 min,Nonstop,92 kg CO2e,11414,"Thu, Dec 5"
IndiGo,6E 2184,Airbus A321neo,Kolkata,Delhi,10:00 AM,12:30 PM,2 hr 30 min,Nonstop,92 kg CO2e,11624,"Thu, Dec 5"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Delhi,5:25 AM,11:20 AM,5 hr 55 min,1 stop,177 kg CO2e,11639,"Thu, Dec 5"
IndiGo,6E 713,Airbus A320,Kolkata,Delhi,8:10 AM,1:45 PM,5 hr 35 min,1 stop,132 kg CO2e,11639,"Thu, Dec 5"
IndiGo,6E 6152,Airbus A320neo,Kolkata,Delhi,10:50 AM,4:55 PM,6 hr 5 min,1 stop,122 kg CO2e,11971,"Thu, Dec 5"
